code_name,SMILES
alkyne_1,C#Cc1ccccc1
alkyne_2,C#Cc1ccc(C)cc1
alkyne_3,C#Cc1cccc(C)c1
alkyne_4,C#Cc1ccccc1C
alkyne_5,C#CCCc1ccccc1
alkyne_6,C#CCc1ccccc1
alkyne_7,C#Cc1ccc(CC)cc1
alkyne_8,C#Cc1ccc(CCC)cc1
alkyne_9,C#Cc1cc(C)cc(C)c1
alkyne_10,C#CC(C)c1ccccc1
alkyne_11,C#CCc1ccc(C)cc1
alkyne_12,C#CC(C)(C)c1ccccc1
alkyne_13,C#Cc1ccccc1CC
alkyne_14,C#Cc1cccc(CC)c1
alkyne_15,C#CCC#Cc1ccccc1
alkyne_16,C#CCc1ccccc1C
alkyne_17,C#CCN
alkyne_18,C#CCCC
alkyne_19,C#CCC
alkyne_20,C#CC(C)C
alkyne_21,C#CCC(C)C
alkyne_22,C#CCCCN
alkyne_23,C#CC(C)N
alkyne_24,C#CC(C)CC
alkyne_25,C#CCC#CCC
alkyne_26,C#CCC#CC
alkyne_27,C#CC(CC)CC
alkyne_28,C#CC
alkyne_29,C#CCCCBr
alkyne_30,C#CCBr
alkyne_31,C#CCOCCl
alkyne_32,C#CCCOCCBr
